"ICAO","IATA","airport","city","nation"
"YWWL","WWY","West Wyalong Airport","West Wyalong","澳洲"
"YWYY","BWT","伯爾尼機場","塔斯曼尼亞州伯爾尼","澳大利亞"
"YYAL","YLG","Yalgoo Airport","Yalgoo","澳洲"
"YYMI","XMY","Yam Island Airport","Yam Island","澳洲"
"YYND","YUE","Yuendumu Airport","Yuendumu","澳洲"
"ZBAA","PEK","北京首都國際機場","北京市","中國"
"ZBAD","PKX","北京大興國際機場","北京市","中國"
"ZBCF","CIF","赤峰玉龍機場","赤峰市，內蒙古自治區","中國大陸"
"ZBCZ","CIH","長治王村機場","長治市，山西省","中國大陸"
"ZBDS","DSN","鄂爾多斯伊金霍洛機場","鄂爾多斯市，內蒙古自治區","中國大陸"
"ZBDT","DAT","大同雲岡機場","大同市，山西省","中國大陸"
"ZBER","ERL","二連浩特賽烏蘇國際機場","二連浩特市，內蒙古自治區","中國大陸"
"ZBNY","NAY","南苑機場","北京市","中國"
"ZBOW","BAV","包頭機場","內蒙古自治區包頭市","中國大陸"
"ZBSJ","SJW","石家莊正定機場","石家莊市","中國"
"ZBTJ","TSN","天津濱海國際機場","天津市","中華人民共和國"
"ZBTS","TVS","唐山三女河機場","唐山市","中華人民共和國"
"ZBUH","WUA","烏海機場","烏海市","中國"
"ZBXH","XIL","錫林浩特機場","錫林浩特市","中國"
"ZBXT","XNT","Xingtai Airport","邢臺市","中國"
"ZBYC","YCU","運城張孝機場","運城市","中國"
"ZBYN","TYN","太原武宿機場","太原市","中華人民共和國"
"ZBZJ","ZQZ","張家口寧遠機場","張家口","中國"
"ZGBH","BHY","北海福成機場","廣西壯族自治區北海市","中國大陸"
"ZGBS","AEB","百色巴馬機場","廣西壯族自治區百色","中國大陸"
"ZGCD","CGD","常德桃花源機場","常德市，湖南省","中國大陸"
